"age","sex","year","contents","10211: Population, by age, sex, year and contents"
"F15-19 15-19 years","0 Both sexes","1931","Persons",269555
"F15-19 15-19 years","0 Both sexes","1932","Persons",271448
"F15-19 15-19 years","0 Both sexes","1933","Persons",274225
"F15-19 15-19 years","0 Both sexes","1934","Persons",276522
"F15-19 15-19 years","0 Both sexes","1935","Persons",274360
"F15-19 15-19 years","0 Both sexes","1936","Persons",284388
"F15-19 15-19 years","0 Both sexes","1937","Persons",287725
"F15-19 15-19 years","0 Both sexes","1938","Persons",287517
"F15-19 15-19 years","0 Both sexes","1939","Persons",286914
"F15-19 15-19 years","0 Both sexes","1940","Persons",287060
"F15-19 15-19 years","0 Both sexes","1941","Persons",274521
"F15-19 15-19 years","0 Both sexes","1942","Persons",266461
"F15-19 15-19 years","0 Both sexes","1943","Persons",256257
"F15-19 15-19 years","0 Both sexes","1944","Persons",246427
"F15-19 15-19 years","0 Both sexes","1945","Persons",237654
"F15-19 15-19 years","0 Both sexes","1946","Persons",232283
"F15-19 15-19 years","0 Both sexes","1947","Persons",226375
"F15-19 15-19 years","0 Both sexes","1948","Persons",222947
"F15-19 15-19 years","0 Both sexes","1949","Persons",216213
"F15-19 15-19 years","0 Both sexes","1950","Persons",210334
"F15-19 15-19 years","0 Both sexes","1951","Persons",204313
"F15-19 15-19 years","0 Both sexes","1952","Persons",201033
"F15-19 15-19 years","0 Both sexes","1953","Persons",199209
"F15-19 15-19 years","0 Both sexes","1954","Persons",202467
"F15-19 15-19 years","0 Both sexes","1955","Persons",207032
"F15-19 15-19 years","0 Both sexes","1956","Persons",213693
"F15-19 15-19 years","0 Both sexes","1957","Persons",215976
"F15-19 15-19 years","0 Both sexes","1958","Persons",223966
"F15-19 15-19 years","0 Both sexes","1959","Persons",234512
"F15-19 15-19 years","0 Both sexes","1960","Persons",250174
"F15-19 15-19 years","0 Both sexes","1961","Persons",267050
"F15-19 15-19 years","0 Both sexes","1962","Persons",292091
"F15-19 15-19 years","0 Both sexes","1963","Persons",307214
"F15-19 15-19 years","0 Both sexes","1964","Persons",316854
"F15-19 15-19 years","0 Both sexes","1965","Persons",317373
"F15-19 15-19 years","0 Both sexes","1966","Persons",315342
"F15-19 15-19 years","0 Both sexes","1967","Persons",306120
"F15-19 15-19 years","0 Both sexes","1968","Persons",302118
"F15-19 15-19 years","0 Both sexes","1969","Persons",300835
"F15-19 15-19 years","0 Both sexes","1970","Persons",300926
"F15-19 15-19 years","0 Both sexes","1971","Persons",302437
"F15-19 15-19 years","0 Both sexes","1972","Persons",306677
"F15-19 15-19 years","0 Both sexes","1973","Persons",307818
"F15-19 15-19 years","0 Both sexes","1974","Persons",308171
"F15-19 15-19 years","0 Both sexes","1975","Persons",309062
"F15-19 15-19 years","0 Both sexes","1976","Persons",308108
"F15-19 15-19 years","0 Both sexes","1977","Persons",307116
"F15-19 15-19 years","0 Both sexes","1978","Persons",307042
"F15-19 15-19 years","0 Both sexes","1979","Persons",308261
"F15-19 15-19 years","0 Both sexes","1980","Persons",311395
"F15-19 15-19 years","0 Both sexes","1981","Persons",316395
"F15-19 15-19 years","0 Both sexes","1982","Persons",321786
"F15-19 15-19 years","0 Both sexes","1983","Persons",326737
"F15-19 15-19 years","0 Both sexes","1984","Persons",331644
"F15-19 15-19 years","0 Both sexes","1985","Persons",334741
"F15-19 15-19 years","0 Both sexes","1986","Persons",334436
"F15-19 15-19 years","0 Both sexes","1987","Persons",334167
"F15-19 15-19 years","0 Both sexes","1988","Persons",333299
"F15-19 15-19 years","0 Both sexes","1989","Persons",327634
"F15-19 15-19 years","0 Both sexes","1990","Persons",319057
"F15-19 15-19 years","0 Both sexes","1991","Persons",311402
"F15-19 15-19 years","0 Both sexes","1992","Persons",300424
"F15-19 15-19 years","0 Both sexes","1993","Persons",287770
"F15-19 15-19 years","0 Both sexes","1994","Persons",279274
"F15-19 15-19 years","0 Both sexes","1995","Persons",271459
"F15-19 15-19 years","0 Both sexes","1996","Persons",266935
"F15-19 15-19 years","0 Both sexes","1997","Persons",264970
"F15-19 15-19 years","0 Both sexes","1998","Persons",265813
"F15-19 15-19 years","0 Both sexes","1999","Persons",265220
"F15-19 15-19 years","0 Both sexes","2000","Persons",265390
"F15-19 15-19 years","0 Both sexes","2001","Persons",265960
"F15-19 15-19 years","0 Both sexes","2002","Persons",268203
"F15-19 15-19 years","0 Both sexes","2003","Persons",272080
"F15-19 15-19 years","0 Both sexes","2004","Persons",279820
"F15-19 15-19 years","0 Both sexes","2005","Persons",289043
"F15-19 15-19 years","0 Both sexes","2006","Persons",299175
"F15-19 15-19 years","0 Both sexes","2007","Persons",308270
"F15-19 15-19 years","0 Both sexes","2008","Persons",315569
"F15-19 15-19 years","0 Both sexes","2009","Persons",319214
"F15-19 15-19 years","0 Both sexes","2010","Persons",322032
"F15-19 15-19 years","0 Both sexes","2011","Persons",323624
"F15-19 15-19 years","0 Both sexes","2012","Persons",324990
"F15-19 15-19 years","0 Both sexes","2013","Persons",326069
"F15-19 15-19 years","0 Both sexes","2014","Persons",325805
"F15-19 15-19 years","0 Both sexes","2015","Persons",326506
"F15-19 15-19 years","0 Both sexes","2016","Persons",326824
"F15-19 15-19 years","0 Both sexes","2017","Persons",325020
"F15-19 15-19 years","0 Both sexes","2018","Persons",321959
"F15-19 15-19 years","0 Both sexes","2019","Persons",320499
"F15-19 15-19 years","0 Both sexes","2020","Persons",318622
"F15-19 15-19 years","0 Both sexes","2021","Persons",316199
"F15-19 15-19 years","0 Both sexes","2022","Persons",318747
"F15-19 15-19 years","1 Males","1846","Persons",66853
"F15-19 15-19 years","1 Males","1847","Persons",66331
"F15-19 15-19 years","1 Males","1848","Persons",66515
"F15-19 15-19 years","1 Males","1849","Persons",66943
"F15-19 15-19 years","1 Males","1850","Persons",66686
"F15-19 15-19 years","1 Males","1851","Persons",67526
"F15-19 15-19 years","1 Males","1852","Persons",67445
"F15-19 15-19 years","1 Males","1853","Persons",67399
"F15-19 15-19 years","1 Males","1854","Persons",66716
"F15-19 15-19 years","1 Males","1855","Persons",65161
"F15-19 15-19 years","1 Males","1856","Persons",63784
"F15-19 15-19 years","1 Males","1857","Persons",64891
"F15-19 15-19 years","1 Males","1858","Persons",66360
"F15-19 15-19 years","1 Males","1859","Persons",68127
"F15-19 15-19 years","1 Males","1860","Persons",70337
"F15-19 15-19 years","1 Males","1861","Persons",72733
"F15-19 15-19 years","1 Males","1862","Persons",73947
"F15-19 15-19 years","1 Males","1863","Persons",75179
"F15-19 15-19 years","1 Males","1864","Persons",76447
"F15-19 15-19 years","1 Males","1865","Persons",79132
"F15-19 15-19 years","1 Males","1866","Persons",80573
"F15-19 15-19 years","1 Males","1867","Persons",81340
"F15-19 15-19 years","1 Males","1868","Persons",81869
"F15-19 15-19 years","1 Males","1869","Persons",83468
"F15-19 15-19 years","1 Males","1870","Persons",84596
"F15-19 15-19 years","1 Males","1871","Persons",85935
"F15-19 15-19 years","1 Males","1872","Persons",86543
"F15-19 15-19 years","1 Males","1873","Persons",88024
"F15-19 15-19 years","1 Males","1874","Persons",89315
"F15-19 15-19 years","1 Males","1875","Persons",90969
"F15-19 15-19 years","1 Males","1876","Persons",92230
"F15-19 15-19 years","1 Males","1877","Persons",92331
"F15-19 15-19 years","1 Males","1878","Persons",93462
"F15-19 15-19 years","1 Males","1879","Persons",94998
"F15-19 15-19 years","1 Males","1880","Persons",95143
"F15-19 15-19 years","1 Males","1881","Persons",94793
"F15-19 15-19 years","1 Males","1882","Persons",95026
"F15-19 15-19 years","1 Males","1883","Persons",93117
"F15-19 15-19 years","1 Males","1884","Persons",91296
"F15-19 15-19 years","1 Males","1885","Persons",90301
"F15-19 15-19 years","1 Males","1886","Persons",89393
"F15-19 15-19 years","1 Males","1887","Persons",88773
"F15-19 15-19 years","1 Males","1888","Persons",88638
"F15-19 15-19 years","1 Males","1889","Persons",88470
"F15-19 15-19 years","1 Males","1890","Persons",90553
"F15-19 15-19 years","1 Males","1891","Persons",93239
"F15-19 15-19 years","1 Males","1892","Persons",95501
"F15-19 15-19 years","1 Males","1893","Persons",97414
"F15-19 15-19 years","1 Males","1894","Persons",98882
"F15-19 15-19 years","1 Males","1895","Persons",102229
"F15-19 15-19 years","1 Males","1896","Persons",103631
"F15-19 15-19 years","1 Males","1897","Persons",104012
"F15-19 15-19 years","1 Males","1898","Persons",104777
"F15-19 15-19 years","1 Males","1899","Persons",106405
"F15-19 15-19 years","1 Males","1900","Persons",107589
"F15-19 15-19 years","1 Males","1901","Persons",109368
"F15-19 15-19 years","1 Males","1902","Persons",111360
"F15-19 15-19 years","1 Males","1903","Persons",112696
"F15-19 15-19 years","1 Males","1904","Persons",112537
"F15-19 15-19 years","1 Males","1905","Persons",112928
"F15-19 15-19 years","1 Males","1906","Persons",113320
"F15-19 15-19 years","1 Males","1907","Persons",114172
"F15-19 15-19 years","1 Males","1908","Persons",113817
"F15-19 15-19 years","1 Males","1909","Persons",117468
"F15-19 15-19 years","1 Males","1910","Persons",118654
"F15-19 15-19 years","1 Males","1911","Persons",119543
"F15-19 15-19 years","1 Males","1912","Persons",121298
"F15-19 15-19 years","1 Males","1913","Persons",124055
"F15-19 15-19 years","1 Males","1914","Persons",125646
"F15-19 15-19 years","1 Males","1915","Persons",127572
"F15-19 15-19 years","1 Males","1916","Persons",129108
"F15-19 15-19 years","1 Males","1917","Persons",130853
"F15-19 15-19 years","1 Males","1918","Persons",132863
"F15-19 15-19 years","1 Males","1919","Persons",133753
"F15-19 15-19 years","1 Males","1920","Persons",134851
"F15-19 15-19 years","1 Males","1921","Persons",135192
"F15-19 15-19 years","1 Males","1922","Persons",135321
"F15-19 15-19 years","1 Males","1923","Persons",134698
"F15-19 15-19 years","1 Males","1924","Persons",133392
"F15-19 15-19 years","1 Males","1925","Persons",134264
"F15-19 15-19 years","1 Males","1926","Persons",134650
"F15-19 15-19 years","1 Males","1927","Persons",134688
"F15-19 15-19 years","1 Males","1928","Persons",135391
"F15-19 15-19 years","1 Males","1929","Persons",136175
"F15-19 15-19 years","1 Males","1930","Persons",136985
"F15-19 15-19 years","1 Males","1931","Persons",136893
"F15-19 15-19 years","1 Males","1932","Persons",137953
"F15-19 15-19 years","1 Males","1933","Persons",139379
"F15-19 15-19 years","1 Males","1934","Persons",140508
"F15-19 15-19 years","1 Males","1935","Persons",139521
"F15-19 15-19 years","1 Males","1936","Persons",144829
"F15-19 15-19 years","1 Males","1937","Persons",146513
"F15-19 15-19 years","1 Males","1938","Persons",146237
"F15-19 15-19 years","1 Males","1939","Persons",146065
"F15-19 15-19 years","1 Males","1940","Persons",146009
"F15-19 15-19 years","1 Males","1941","Persons",139600
"F15-19 15-19 years","1 Males","1942","Persons",135892
"F15-19 15-19 years","1 Males","1943","Persons",130779
"F15-19 15-19 years","1 Males","1944","Persons",125576
"F15-19 15-19 years","1 Males","1945","Persons",120984
"F15-19 15-19 years","1 Males","1946","Persons",118355
"F15-19 15-19 years","1 Males","1947","Persons",115633
"F15-19 15-19 years","1 Males","1948","Persons",113790
"F15-19 15-19 years","1 Males","1949","Persons",110470
"F15-19 15-19 years","1 Males","1950","Persons",107231
"F15-19 15-19 years","1 Males","1951","Persons",103947
"F15-19 15-19 years","1 Males","1952","Persons",102447
"F15-19 15-19 years","1 Males","1953","Persons",101627
"F15-19 15-19 years","1 Males","1954","Persons",103138
"F15-19 15-19 years","1 Males","1955","Persons",105404
"F15-19 15-19 years","1 Males","1956","Persons",108984
"F15-19 15-19 years","1 Males","1957","Persons",110000
"F15-19 15-19 years","1 Males","1958","Persons",114046
"F15-19 15-19 years","1 Males","1959","Persons",119681
"F15-19 15-19 years","1 Males","1960","Persons",127993
"F15-19 15-19 years","1 Males","1961","Persons",136715
"F15-19 15-19 years","1 Males","1962","Persons",149735
"F15-19 15-19 years","1 Males","1963","Persons",157578
"F15-19 15-19 years","1 Males","1964","Persons",162677
"F15-19 15-19 years","1 Males","1965","Persons",162886
"F15-19 15-19 years","1 Males","1966","Persons",161944
"F15-19 15-19 years","1 Males","1967","Persons",157399
"F15-19 15-19 years","1 Males","1968","Persons",155514
"F15-19 15-19 years","1 Males","1969","Persons",154407
"F15-19 15-19 years","1 Males","1970","Persons",154144
"F15-19 15-19 years","1 Males","1971","Persons",154912
"F15-19 15-19 years","1 Males","1972","Persons",156728
"F15-19 15-19 years","1 Males","1973","Persons",157127
"F15-19 15-19 years","1 Males","1974","Persons",157354
"F15-19 15-19 years","1 Males","1975","Persons",158137
"F15-19 15-19 years","1 Males","1976","Persons",157506
"F15-19 15-19 years","1 Males","1977","Persons",157418
"F15-19 15-19 years","1 Males","1978","Persons",157463
"F15-19 15-19 years","1 Males","1979","Persons",157972
"F15-19 15-19 years","1 Males","1980","Persons",159691
"F15-19 15-19 years","1 Males","1981","Persons",162448
"F15-19 15-19 years","1 Males","1982","Persons",165229
"F15-19 15-19 years","1 Males","1983","Persons",167761
"F15-19 15-19 years","1 Males","1984","Persons",170481
"F15-19 15-19 years","1 Males","1985","Persons",171839
"F15-19 15-19 years","1 Males","1986","Persons",171472
"F15-19 15-19 years","1 Males","1987","Persons",171012
"F15-19 15-19 years","1 Males","1988","Persons",170686
"F15-19 15-19 years","1 Males","1989","Persons",167741
"F15-19 15-19 years","1 Males","1990","Persons",162977
"F15-19 15-19 years","1 Males","1991","Persons",158945
"F15-19 15-19 years","1 Males","1992","Persons",153412
"F15-19 15-19 years","1 Males","1993","Persons",146935
"F15-19 15-19 years","1 Males","1994","Persons",142504
"F15-19 15-19 years","1 Males","1995","Persons",138731
"F15-19 15-19 years","1 Males","1996","Persons",136612
"F15-19 15-19 years","1 Males","1997","Persons",135423
"F15-19 15-19 years","1 Males","1998","Persons",136016
"F15-19 15-19 years","1 Males","1999","Persons",135767
"F15-19 15-19 years","1 Males","2000","Persons",135916
"F15-19 15-19 years","1 Males","2001","Persons",136277
"F15-19 15-19 years","1 Males","2002","Persons",137880
"F15-19 15-19 years","1 Males","2003","Persons",139590
"F15-19 15-19 years","1 Males","2004","Persons",143496
"F15-19 15-19 years","1 Males","2005","Persons",148355
"F15-19 15-19 years","1 Males","2006","Persons",153434
"F15-19 15-19 years","1 Males","2007","Persons",157915
"F15-19 15-19 years","1 Males","2008","Persons",162135
"F15-19 15-19 years","1 Males","2009","Persons",163961
"F15-19 15-19 years","1 Males","2010","Persons",165748
"F15-19 15-19 years","1 Males","2011","Persons",167124
"F15-19 15-19 years","1 Males","2012","Persons",167828
"F15-19 15-19 years","1 Males","2013","Persons",168038
"F15-19 15-19 years","1 Males","2014","Persons",167828
"F15-19 15-19 years","1 Males","2015","Persons",168228
"F15-19 15-19 years","1 Males","2016","Persons",168361
"F15-19 15-19 years","1 Males","2017","Persons",167960
"F15-19 15-19 years","1 Males","2018","Persons",166175
"F15-19 15-19 years","1 Males","2019","Persons",165165
"F15-19 15-19 years","1 Males","2020","Persons",163718
"F15-19 15-19 years","1 Males","2021","Persons",162027
"F15-19 15-19 years","1 Males","2022","Persons",163245
"F15-19 15-19 years","2 Females","1846","Persons",65680
"F15-19 15-19 years","2 Females","1847","Persons",65281
"F15-19 15-19 years","2 Females","1848","Persons",65672
"F15-19 15-19 years","2 Females","1849","Persons",66815
"F15-19 15-19 years","2 Females","1850","Persons",67775
"F15-19 15-19 years","2 Females","1851","Persons",69281
"F15-19 15-19 years","2 Females","1852","Persons",69919
"F15-19 15-19 years","2 Females","1853","Persons",70022
"F15-19 15-19 years","2 Females","1854","Persons",68573
"F15-19 15-19 years","2 Females","1855","Persons",65936
"F15-19 15-19 years","2 Females","1856","Persons",63670
"F15-19 15-19 years","2 Females","1857","Persons",63971
"F15-19 15-19 years","2 Females","1858","Persons",65502
"F15-19 15-19 years","2 Females","1859","Persons",67567
"F15-19 15-19 years","2 Females","1860","Persons",70002
"F15-19 15-19 years","2 Females","1861","Persons",72843
"F15-19 15-19 years","2 Females","1862","Persons",74717
"F15-19 15-19 years","2 Females","1863","Persons",76212
"F15-19 15-19 years","2 Females","1864","Persons",77707
"F15-19 15-19 years","2 Females","1865","Persons",79826
"F15-19 15-19 years","2 Females","1866","Persons",80131
"F15-19 15-19 years","2 Females","1867","Persons",80374
"F15-19 15-19 years","2 Females","1868","Persons",80631
"F15-19 15-19 years","2 Females","1869","Persons",81594
"F15-19 15-19 years","2 Females","1870","Persons",82731
"F15-19 15-19 years","2 Females","1871","Persons",84110
"F15-19 15-19 years","2 Females","1872","Persons",84855
"F15-19 15-19 years","2 Females","1873","Persons",87150
"F15-19 15-19 years","2 Females","1874","Persons",89278
"F15-19 15-19 years","2 Females","1875","Persons",90484
"F15-19 15-19 years","2 Females","1876","Persons",90912
"F15-19 15-19 years","2 Females","1877","Persons",90836
"F15-19 15-19 years","2 Females","1878","Persons",91699
"F15-19 15-19 years","2 Females","1879","Persons",92930
"F15-19 15-19 years","2 Females","1880","Persons",93534
"F15-19 15-19 years","2 Females","1881","Persons",94280
"F15-19 15-19 years","2 Females","1882","Persons",95448
"F15-19 15-19 years","2 Females","1883","Persons",94585
"F15-19 15-19 years","2 Females","1884","Persons",93067
"F15-19 15-19 years","2 Females","1885","Persons",92114
"F15-19 15-19 years","2 Females","1886","Persons",91090
"F15-19 15-19 years","2 Females","1887","Persons",90311
"F15-19 15-19 years","2 Females","1888","Persons",90493
"F15-19 15-19 years","2 Females","1889","Persons",90829
"F15-19 15-19 years","2 Females","1890","Persons",92143
"F15-19 15-19 years","2 Females","1891","Persons",93572
"F15-19 15-19 years","2 Females","1892","Persons",95573
"F15-19 15-19 years","2 Females","1893","Persons",97148
"F15-19 15-19 years","2 Females","1894","Persons",98970
"F15-19 15-19 years","2 Females","1895","Persons",101594
"F15-19 15-19 years","2 Females","1896","Persons",102810
"F15-19 15-19 years","2 Females","1897","Persons",103059
"F15-19 15-19 years","2 Females","1898","Persons",103799
"F15-19 15-19 years","2 Females","1899","Persons",105111
"F15-19 15-19 years","2 Females","1900","Persons",106088
"F15-19 15-19 years","2 Females","1901","Persons",107941
"F15-19 15-19 years","2 Females","1902","Persons",109421
"F15-19 15-19 years","2 Females","1903","Persons",111208
"F15-19 15-19 years","2 Females","1904","Persons",111389
"F15-19 15-19 years","2 Females","1905","Persons",111212
"F15-19 15-19 years","2 Females","1906","Persons",111586
"F15-19 15-19 years","2 Females","1907","Persons",112903
"F15-19 15-19 years","2 Females","1908","Persons",112559
"F15-19 15-19 years","2 Females","1909","Persons",114872
"F15-19 15-19 years","2 Females","1910","Persons",116487
"F15-19 15-19 years","2 Females","1911","Persons",118374
"F15-19 15-19 years","2 Females","1912","Persons",119658
"F15-19 15-19 years","2 Females","1913","Persons",122469
"F15-19 15-19 years","2 Females","1914","Persons",124474
"F15-19 15-19 years","2 Females","1915","Persons",126679
"F15-19 15-19 years","2 Females","1916","Persons",128350
"F15-19 15-19 years","2 Females","1917","Persons",130246
"F15-19 15-19 years","2 Females","1918","Persons",131734
"F15-19 15-19 years","2 Females","1919","Persons",132329
"F15-19 15-19 years","2 Females","1920","Persons",132910
"F15-19 15-19 years","2 Females","1921","Persons",132858
"F15-19 15-19 years","2 Females","1922","Persons",132078
"F15-19 15-19 years","2 Females","1923","Persons",131277
"F15-19 15-19 years","2 Females","1924","Persons",130077
"F15-19 15-19 years","2 Females","1925","Persons",130604
"F15-19 15-19 years","2 Females","1926","Persons",130754
"F15-19 15-19 years","2 Females","1927","Persons",131109
"F15-19 15-19 years","2 Females","1928","Persons",131723
"F15-19 15-19 years","2 Females","1929","Persons",132504
"F15-19 15-19 years","2 Females","1930","Persons",132806
"F15-19 15-19 years","2 Females","1931","Persons",132662
"F15-19 15-19 years","2 Females","1932","Persons",133495
"F15-19 15-19 years","2 Females","1933","Persons",134846
"F15-19 15-19 years","2 Females","1934","Persons",136014
"F15-19 15-19 years","2 Females","1935","Persons",134839
"F15-19 15-19 years","2 Females","1936","Persons",139559
"F15-19 15-19 years","2 Females","1937","Persons",141212
"F15-19 15-19 years","2 Females","1938","Persons",141280
"F15-19 15-19 years","2 Females","1939","Persons",140849
"F15-19 15-19 years","2 Females","1940","Persons",141051
"F15-19 15-19 years","2 Females","1941","Persons",134921
"F15-19 15-19 years","2 Females","1942","Persons",130569
"F15-19 15-19 years","2 Females","1943","Persons",125478
"F15-19 15-19 years","2 Females","1944","Persons",120851
"F15-19 15-19 years","2 Females","1945","Persons",116670
"F15-19 15-19 years","2 Females","1946","Persons",113928
"F15-19 15-19 years","2 Females","1947","Persons",110742
"F15-19 15-19 years","2 Females","1948","Persons",109157
"F15-19 15-19 years","2 Females","1949","Persons",105743
"F15-19 15-19 years","2 Females","1950","Persons",103103
"F15-19 15-19 years","2 Females","1951","Persons",100366
"F15-19 15-19 years","2 Females","1952","Persons",98586
"F15-19 15-19 years","2 Females","1953","Persons",97582
"F15-19 15-19 years","2 Females","1954","Persons",99329
"F15-19 15-19 years","2 Females","1955","Persons",101628
"F15-19 15-19 years","2 Females","1956","Persons",104709
"F15-19 15-19 years","2 Females","1957","Persons",105976
"F15-19 15-19 years","2 Females","1958","Persons",109920
"F15-19 15-19 years","2 Females","1959","Persons",114831
"F15-19 15-19 years","2 Females","1960","Persons",122181
"F15-19 15-19 years","2 Females","1961","Persons",130335
"F15-19 15-19 years","2 Females","1962","Persons",142356
"F15-19 15-19 years","2 Females","1963","Persons",149636
"F15-19 15-19 years","2 Females","1964","Persons",154177
"F15-19 15-19 years","2 Females","1965","Persons",154487
"F15-19 15-19 years","2 Females","1966","Persons",153398
"F15-19 15-19 years","2 Females","1967","Persons",148721
"F15-19 15-19 years","2 Females","1968","Persons",146604
"F15-19 15-19 years","2 Females","1969","Persons",146428
"F15-19 15-19 years","2 Females","1970","Persons",146782
"F15-19 15-19 years","2 Females","1971","Persons",147525
"F15-19 15-19 years","2 Females","1972","Persons",149949
"F15-19 15-19 years","2 Females","1973","Persons",150691
"F15-19 15-19 years","2 Females","1974","Persons",150817
"F15-19 15-19 years","2 Females","1975","Persons",150925
"F15-19 15-19 years","2 Females","1976","Persons",150602
"F15-19 15-19 years","2 Females","1977","Persons",149698
"F15-19 15-19 years","2 Females","1978","Persons",149579
"F15-19 15-19 years","2 Females","1979","Persons",150289
"F15-19 15-19 years","2 Females","1980","Persons",151704
"F15-19 15-19 years","2 Females","1981","Persons",153947
"F15-19 15-19 years","2 Females","1982","Persons",156557
"F15-19 15-19 years","2 Females","1983","Persons",158976
"F15-19 15-19 years","2 Females","1984","Persons",161163
"F15-19 15-19 years","2 Females","1985","Persons",162902
"F15-19 15-19 years","2 Females","1986","Persons",162964
"F15-19 15-19 years","2 Females","1987","Persons",163155
"F15-19 15-19 years","2 Females","1988","Persons",162613
"F15-19 15-19 years","2 Females","1989","Persons",159893
"F15-19 15-19 years","2 Females","1990","Persons",156080
"F15-19 15-19 years","2 Females","1991","Persons",152457
"F15-19 15-19 years","2 Females","1992","Persons",147012
"F15-19 15-19 years","2 Females","1993","Persons",140835
"F15-19 15-19 years","2 Females","1994","Persons",136770
"F15-19 15-19 years","2 Females","1995","Persons",132728
"F15-19 15-19 years","2 Females","1996","Persons",130323
"F15-19 15-19 years","2 Females","1997","Persons",129547
"F15-19 15-19 years","2 Females","1998","Persons",129797
"F15-19 15-19 years","2 Females","1999","Persons",129453
"F15-19 15-19 years","2 Females","2000","Persons",129474
"F15-19 15-19 years","2 Females","2001","Persons",129683
"F15-19 15-19 years","2 Females","2002","Persons",130323
"F15-19 15-19 years","2 Females","2003","Persons",132490
"F15-19 15-19 years","2 Females","2004","Persons",136324
"F15-19 15-19 years","2 Females","2005","Persons",140688
"F15-19 15-19 years","2 Females","2006","Persons",145741
"F15-19 15-19 years","2 Females","2007","Persons",150355
"F15-19 15-19 years","2 Females","2008","Persons",153434
"F15-19 15-19 years","2 Females","2009","Persons",155253
"F15-19 15-19 years","2 Females","2010","Persons",156284
"F15-19 15-19 years","2 Females","2011","Persons",156500
"F15-19 15-19 years","2 Females","2012","Persons",157162
"F15-19 15-19 years","2 Females","2013","Persons",158031
"F15-19 15-19 years","2 Females","2014","Persons",157977
"F15-19 15-19 years","2 Females","2015","Persons",158278
"F15-19 15-19 years","2 Females","2016","Persons",158463
"F15-19 15-19 years","2 Females","2017","Persons",157060
"F15-19 15-19 years","2 Females","2018","Persons",155784
"F15-19 15-19 years","2 Females","2019","Persons",155334
"F15-19 15-19 years","2 Females","2020","Persons",154904
"F15-19 15-19 years","2 Females","2021","Persons",154172
"F15-19 15-19 years","2 Females","2022","Persons",155502
"F20-24 20-24 years","0 Both sexes","1846","Persons",127699
"F20-24 20-24 years","0 Both sexes","1847","Persons",128207
"F20-24 20-24 years","0 Both sexes","1848","Persons",128034
"F20-24 20-24 years","0 Both sexes","1849","Persons",127580
"F20-24 20-24 years","0 Both sexes","1850","Persons",129841
"F20-24 20-24 years","0 Both sexes","1851","Persons",130283
"F20-24 20-24 years","0 Both sexes","1852","Persons",129486
"F20-24 20-24 years","0 Both sexes","1853","Persons",129849
"F20-24 20-24 years","0 Both sexes","1854","Persons",130733
"F20-24 20-24 years","0 Both sexes","1855","Persons",130852
"F20-24 20-24 years","0 Both sexes","1856","Persons",132830
"F20-24 20-24 years","0 Both sexes","1857","Persons",131712
"F20-24 20-24 years","0 Both sexes","1858","Persons",130544
"F20-24 20-24 years","0 Both sexes","1859","Persons",128946
"F20-24 20-24 years","0 Both sexes","1860","Persons",126192
"F20-24 20-24 years","0 Both sexes","1861","Persons",123875
"F20-24 20-24 years","0 Both sexes","1862","Persons",124598
"F20-24 20-24 years","0 Both sexes","1863","Persons",127147
"F20-24 20-24 years","0 Both sexes","1864","Persons",130383
"F20-24 20-24 years","0 Both sexes","1865","Persons",133832
"F20-24 20-24 years","0 Both sexes","1866","Persons",138204
"F20-24 20-24 years","0 Both sexes","1867","Persons",139334
"F20-24 20-24 years","0 Both sexes","1868","Persons",141137
"F20-24 20-24 years","0 Both sexes","1869","Persons",142272
"F20-24 20-24 years","0 Both sexes","1870","Persons",145275
"F20-24 20-24 years","0 Both sexes","1871","Persons",146172
"F20-24 20-24 years","0 Both sexes","1872","Persons",147167
"F20-24 20-24 years","0 Both sexes","1873","Persons",146925
"F20-24 20-24 years","0 Both sexes","1874","Persons",149842
"F20-24 20-24 years","0 Both sexes","1875","Persons",154665
"F20-24 20-24 years","0 Both sexes","1876","Persons",159524
"F20-24 20-24 years","0 Both sexes","1877","Persons",161783
"F20-24 20-24 years","0 Both sexes","1878","Persons",165436
"F20-24 20-24 years","0 Both sexes","1879","Persons",167808
"F20-24 20-24 years","0 Both sexes","1880","Persons",168537
"F20-24 20-24 years","0 Both sexes","1881","Persons",165913
"F20-24 20-24 years","0 Both sexes","1882","Persons",161677
"F20-24 20-24 years","0 Both sexes","1883","Persons",158520
"F20-24 20-24 years","0 Both sexes","1884","Persons",158207
"F20-24 20-24 years","0 Both sexes","1885","Persons",158410
"F20-24 20-24 years","0 Both sexes","1886","Persons",160013
"F20-24 20-24 years","0 Both sexes","1887","Persons",162808
"F20-24 20-24 years","0 Both sexes","1888","Persons",160048
"F20-24 20-24 years","0 Both sexes","1889","Persons",155568
"F20-24 20-24 years","0 Both sexes","1890","Persons",153793
"F20-24 20-24 years","0 Both sexes","1891","Persons",152963
"F20-24 20-24 years","0 Both sexes","1892","Persons",152442
"F20-24 20-24 years","0 Both sexes","1893","Persons",152715
"F20-24 20-24 years","0 Both sexes","1894","Persons",152584
"F20-24 20-24 years","0 Both sexes","1895","Persons",158407
"F20-24 20-24 years","0 Both sexes","1896","Persons",165032
"F20-24 20-24 years","0 Both sexes","1897","Persons",171539
"F20-24 20-24 years","0 Both sexes","1898","Persons",178478
"F20-24 20-24 years","0 Both sexes","1899","Persons",184242
"F20-24 20-24 years","0 Both sexes","1900","Persons",188763
